web-scraper-order,web-scraper-start-url,titre_annonce,prix,commune,date,code_postal,surface_all,nb_pièces,détail,prix_m2
1613500740-54616,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=29,Appartement 3 pièces 71 m²,1445,Lille ,"15 fév, 07:57",59000,71,3,Appartement,20.35211267605634
1613500611-52797,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=81,Appartement 2 pièces 33 m²,490,Lille ,"09 fév, 08:47",59000,33,2,Appartement,14.848484848484848
1613500819-54651,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=26,Appartement 2 pièces 40 m²,560,Grand-Fort-Philippe ,"15 fév, 10:32",59153,40,2,Appartement,14
1613500690-53922,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=49,Appartement 2 pièces 59 m²,515,Valenciennes ,"12 fév, 16:23",59300,59,2,Appartement,8.728813559322035
1613500559-52223,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=98,Appartement 1 pièce 11 m²,425,Ronchin ,"05 fév, 18:39",59790,11,,Appartement,38.63636363636363
1613500730-54488,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=33,Maison de courée 50 m²,650,Lille  Hellemmes-Lille,"14 fév, 16:29",59260,50,,Maison,13
1613500873-55385,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=5,Appartement 3 pièces 46 m²,675,Lille ,"16 fév, 16:09",59000,46,3,Appartement,14.673913043478262
1613500661-53501,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=61,Studio 1 pièce 16 m²,360,Lille ,"11 fév, 12:08",59000,16,1,Appartement,22.5
1613500705-54139,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=43,Appartement 3 pièces 83 m²,1130,Lille ,"13 fév, 09:58",59000,83,3,Appartement,13.614457831325302
1613500688-53891,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=50,Studio 1 pièce 29 m²,410,Valenciennes ,"12 fév, 15:17",59300,29,1,Appartement,14.137931034482758
1613500693-53948,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=48,Appartement 2 pièces 47 m²,695,Lille ,"12 fév, 17:23",59000,47,2,Appartement,14.787234042553191
1613500720-54360,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=37,Studio 4 pièces 20 m²,340,Malo les Bains ,"13 fév, 20:19",59240,20,1,Appartement,17
1613500624-52980,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=76,Studio 1 pièce 18 m²,380,Douai ,"09 fév, 16:39",59500,18,1,Appartement,21.11111111111111
1613500661-53496,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=61,Appartement 3 pièces 78 m²,852,Lille ,"11 fév, 12:24",59000,78,3,Appartement,10.923076923076923
1613500876-55430,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=4,Studio 1 pièce 27 m²,612,Lille ,"16 fév, 16:53",59000,27,1,Appartement,22.666666666666668
1613500606-52742,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=83,STUDIO 20 m² meublé étudiant(e),440,Lille ,"08 fév, 20:01",59000,20,1,Appartement,22
1613500853-55131,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=13,Appartement 2 pièces 50 m²,657,Lille ,"16 fév, 08:27",59800,50,2,Appartement,13.14
1613500616-52868,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=79,F2 50 m2,580,Lille  Moulins,"09 fév, 11:12",59000,50,,,11.6
1613500562-52233,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=97,Location appartement T4 98m2 terasse et garage,2090,Lille  Saint-Maurice-Pellevoisin,"06 fév, 07:40",59800,98,4,Appartement,21.3265306122449
