web-scraper-order,web-scraper-start-url,titre_annonce,prix,nom-commune,code_postal,date_publication,Type,surface_all,nb_pièces,détail,Jardin,état,garage,cave_sous_sol,prix_m2
1613468392-46989,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=46,Maison 5 pièces 155 m²,314000,Hallennes-lez-Haubourdin ,59320,"12 fév, 09:46",Maison,155,5,,,,,,2025.8064516129032
1613469053-49504,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=74,Maison 10 pièces 147 m²,298000,La Gorgue ,59253,"08 fév, 15:29",Maison,147,10,,,,,,2027.2108843537414
1613468474-48274,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=10,Maison 4 pièces 108 m²,219000,Pérenchies ,59840,"15 fév, 11:48",Maison,108,4,,,,,,2027.7777777777778
1613468404-47174,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=41,Maison 4 pièces 115 m²,233200,Carvin ,62220,"12 fév, 15:30",Maison,115,4,,,,,,2027.8260869565217
1613468394-47044,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=45,Maison 5 pièces 124 m²,252000,Wattrelos ,59150,"12 fév, 10:09",Maison,124,5,,,,,,2032.258064516129
1613468995-48845,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=93,Maison 5 pièces 180 m²,366000,Carvin ,62220,"04 fév, 02:13",Maison,180,5,,,,,,2033.3333333333333
1613469015-49081,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=86,Ferme 6 pièces 177 m²,360000,Aubers ,59249,"05 fév, 16:29",Maison,177,6,,,,,,2033.8983050847457
1613468422-47461,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=33,Maison 5 pièces 115 m²,234000,Hem ,59510,"13 fév, 11:16",Maison,115,5,,,,,,2034.7826086956522
1613468995-48863,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=93,Maison 10 pièces 112 m²,227970,Carvin ,62220,"03 fév, 18:32",Maison,112,10,,,,,,2035.4464285714287
1613469091-50000,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=60,Ferme 11 pièces 280 m²,570000,Mérignies ,59710,"10 fév, 13:43",Maison,280,,,,,,,2035.7142857142858
1613468467-48145,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=13,Maison 6 pièces 156 m²,317600,Gondecourt ,59147,"15 fév, 10:18",Maison,156,6,,,,,,2035.8974358974358
1613469053-49535,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=74,Maison 5 pièces 120 m²,244377,Pérenchies ,59840,"08 fév, 13:37",Maison,120,5,,,,,,2036.475
